name,id,group,Main
"R. L. Wernli, ""AUVs-the maturity of the technology,"" Seattle, WA, USA, 1999.",Wernli_1999,Robot,
"N. Kato, ""Control performance in the horizontal plane of a fish robot with mechanical pectoral fins,"" IEEE Journal of Oceanic Engineering, vol. 25, pp. 121-129, 2000",Kato_2000,Robot,
"S. Saimek and P. Y. Li, ""Motion planning and control of a swimming machine,"" International Journal of Robotics Research, vol. 23, pp. 27- 53, 2004.",Saimek_Li_2004,Robot,
"M. A. MacIver, E. Fontaine, and J. W. Burdick, ""Designing future underwater vehicles: Principles and mechanisms of the weakly electric fish,"" IEEE Journal of Oceanic Engineering, vol. 29, pp. 651-659, 2004",MacIver_etal_2004,Robot,
"N. E. Leonard, ""Control synthesis and adaptation for an underactuated autonomous underwater vehicle,"" IEEE Journal of Oceanic Engineering, vol. 20, pp. 211-220, 1995",Leonard_1995,Robot,
"P. Y. Li and S. Saimek, ""Modeling and estimation of hydrodynamic potentials,"" in Proceedings of the IEEE Conference on Decision and Control, Phoenix, Arizona, USA, vol. 4, pp. 3253-3258, 1999.",Li_Saimek_1999,Misc,
"K. H. Low and A. Willy, ""Biomimetic motion planning of an undulating robotic fish fin,"" JVC/Journal of Vibration and Control, vol. 12, pp. 1337-1359, 2006.",Low_Willy_2006,Robot,
"""How ships’ traffic noise affects whales in a shipping channel,"" May 2003",Unknown_2003,Misc,
"C. M. Breder, ""The locomotion of fishes,"" Zoologica, vol. 4, pp. 159-297, 1926",Breder_1929,Fish,
"C. C. Lindsey, Form, function and locomotory habits in fish, vol. VII Locomotion. New York: Academic Press, 1978.",Lindsey_1978,Fish,
"Y. Y. G. Taguchi, Y. Wu, Taguchi Methods: Design of Experiments: American Supplier Institute, 1993",Taguchi_Wu_1993,Misc,
"M. Sfakiotakis, D. M. Lane, and J. B. C. Davies, ""Review of fish swimming modes for aquatic locomotion,"" IEEE Journal of Oceanic Engineering, vol. 24, pp. 237-252, 1999.",Sfakiotakis_etal_1999,Fish,
"J. J. Magnuson, ""Locomotion by scombrid fishes: Hydromechanics, morphology and behavior,"" Fish Physiology, vol. 7, pp. 239-313, 1978",Magnuson_1978,Fish,
"Chong, C. W., Zhong, Y., Zhou, C. L., Low, K. H., Gerald Seet, G. L., & Lim, H. B. (2009). Can the swimming thrust of BCF biomimetics fish be enhanced? 2008 IEEE International Conference on Robotics and Biomimetics, ROBIO 2008, 437–442. https://doi.org/10.1109/ROBIO.2009.4913043",Chong_etal_2009,Robot,checked
"Carlton J, Aldwinkle J and Anderson J 2013 Future Ship Powering Options: Exploring Alternative Methods of Ship Propulsion (London: Royal Academy of Engineering)",Carlton_etal_2013,Misc,
"Du R, Li Z, Youcef-Toumi K and Valdivia y Alvarado P (ed) 2015 Robot Fish ( Springer Tracts in Mechanical Engineering) (Berlin: Springer)",Du_etal_2015,Robot,
"van Ginneken V, Antonissen E, Müller U K, Booms R, Eding E, Verreth J and van den Thillart G 2005 Eel migration to the sargasso: remarkably high swimming efficiency and low energy costs J. Exp. Biol. 208 1329–35",van_Ginneken_etal_2005,Fish,
Vorus W S and Taravella B M 2011 Anguilliform fish propulsion of highest hydrodynamic efficiency J. Mar. Sci. Appl. 10 163,Vorus_Taravella_2011,Fish,
Barrett D S 1988 Propulsive efficiency of robotuna PhD Thesis Massachusetts Institute of Technology,Barrett_1988,Robot,
